PhaseOrder,Condition,SequenceName,Round,Time,RatingForCondition
1,Haptics,PatternC,1,1.555,7
1,Haptics,PatternC,2,2.042,7
1,Haptics,PatternC,3,0.947,7
1,Haptics,PatternC,4,1.225,7
1,Haptics,PatternC,5,1.666,7
1,Haptics,PatternC,6,1.142,7
1,Haptics,PatternC,7,1.782,7
1,Haptics,PatternC,8,3.188,7
1,Haptics,PatternC,9,0.849,7
1,Haptics,PatternC,10,1.392,7
1,Haptics,PatternC,11,1.183,7
1,Haptics,PatternC,12,1.072,7
1,Haptics,PatternC,13,1.323,7
1,Haptics,PatternC,14,1.058,7
1,Haptics,PatternC,15,1.058,7
2,Both,PatternD,1,2.502,8
2,Both,PatternD,2,1.727,8
2,Both,PatternD,3,0.905,8
2,Both,PatternD,4,1.513,8
2,Both,PatternD,5,1.685,8
2,Both,PatternD,6,2.240,8
2,Both,PatternD,7,1.800,8
2,Both,PatternD,8,0.627,8
2,Both,PatternD,9,1.544,8
2,Both,PatternD,10,1.281,8
2,Both,PatternD,11,1.531,8
2,Both,PatternD,12,2.321,8
2,Both,PatternD,13,1.188,8
2,Both,PatternD,14,2.074,8
2,Both,PatternD,15,1.155,8
3,Sound,PatternB,1,2.298,6
3,Sound,PatternB,2,1.253,6
3,Sound,PatternB,3,2.618,6
3,Sound,PatternB,4,2.450,6
3,Sound,PatternB,5,1.420,6
3,Sound,PatternB,6,1.838,6
3,Sound,PatternB,7,3.104,6
3,Sound,PatternB,8,0.696,6
3,Sound,PatternB,9,2.186,6
3,Sound,PatternB,10,1.517,6
3,Sound,PatternB,11,1.309,6
3,Sound,PatternB,12,0.654,6
3,Sound,PatternB,13,1.601,6
3,Sound,PatternB,14,1.434,6
3,Sound,PatternB,15,1.907,6
4,None,PatternA,1,2.256,3
4,None,PatternA,2,0.807,3
4,None,PatternA,3,2.325,3
4,None,PatternA,4,1.503,3
4,None,PatternA,5,1.545,3
4,None,PatternA,6,0.626,3
4,None,PatternA,7,0.975,3
4,None,PatternA,8,1.559,3
4,None,PatternA,9,0.988,3
4,None,PatternA,10,2.353,3
4,None,PatternA,11,2.019,3
4,None,PatternA,12,0.696,3
4,None,PatternA,13,1.545,3
4,None,PatternA,14,1.030,3
4,None,PatternA,15,1.044,3
